Title,Release Year,Duration,Director,Main Cast,Genres,Streaming Availability
Once Upon a Time in the West,1968,165 min.,Sergio Leone,"Charles Bronson, Gabriele Ferzetti, Henry Fonda","Ensemble Film, Epic, Revenge Film",
Rebecca,1940,130 min.,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders","Based-on-20th-Century-Literature, Film Noir, Gothic Film",
Brief Encounter,1945,86 min.,David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway","Based-on-Theatre, Drama, Romance",
Laura,1944,88 min.,Otto Preminger,"Gene Tierney, Dana Andrews, Clifton Webb","Crime Thriller, Crime, Detective Film",
Ran,1985,162 min.,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu","Action, Based-on-Shakespeare, Drama",
For a Few Dollars More,1965,132 min.,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Klaus Kinski","Foreign Language Film, Spaghetti Western, Western",
Iron Man,2008,126 min.,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Shaun Toub","Action, Based-on-Comics, Cyborg / Android / Robot",
The Best Years of Our Lives,1946,172 min.,William Wyler,"Fredric March, Dana Andrews, Harold Russell","Americana, Based-on-20th-Century-Literature, Drama",
Annie Hall,1977,93 min.,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts","Comedy of Manners, Comedy, New Hollywood",
"Paris, Texas",1984,147 min.,Wim Wenders,"Harry Dean Stanton, Dean Stockwell, Nastassja Kinski","Drama, New German Cinema, Road Movie",
Stalag 17,1953,120 min.,Billy Wilder,"Robert Strauss, Harvey Lembeck, Otto Preminger","Comedy Drama, Drama, Ensemble Film",
Mr. Smith Goes to Washington,1939,129 min.,Frank Capra,"James Stewart, Jean Arthur, Claude Rains","Americana, Comedy Drama, Drama",
Duck Soup,1933,68 min.,Leo McCarey,"Harpo Marx, Groucho Marx, Chico Marx","Absurd Comedy, Comedy, Farce",
Lawrence of Arabia,1962,227 min.,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn","Adventure Drama, Adventure, Based-on-a-True-Story",
To Be or Not to Be,1942,99 min.,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack","Comedy, Farce, Satire",
The Prestige,2006,130 min.,Christopher Nolan,"Hugh Jackman, Christian Bale, Michael Caine","Mindbender, Period Film, Psychological Thriller",
The Sting,1973,129 min.,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw","Buddy Film, Comedy, Con Artist / Hustler",
Back to the Future Part II,1989,108 min.,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson","Adventure, Adventure Comedy, Comedy",
Charade,1963,113 min.,Stanley Donen,"James Coburn, Cary Grant, Audrey Hepburn","Comedy Thriller, Comedy, Mystery",
Chungking Express,1994,98 min.,Wong Kar-Wai,"Brigitte Lin, Tony Leung Chiu Wai, Faye Wong","Drama, Foreign Language Film, Romance",
Dog Day Afternoon,1975,125 min.,Sidney Lumet,"Al Pacino, John Cazale, Charles Durning","Based-on-a-True-Story, Caper, Crime Drama",
All the President's Men,1976,138 min.,Alan J. Pakula,"Jason Robards, Hal Holbrook, Jack Warden","Based-on-a-True-Story, Docudrama, Drama",
Witness for the Prosecution,1957,116 min.,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton","Based-on-20th-Century-Literature, Courtroom Drama, Crime Drama",
