Title,Release Year,Duration,Director,Main Cast,Genre 1,Genre 2
Miller's Crossing,1990,120 min.,Joel & Ethan Coen,Gabriel Byrne,Crime Drama,Crime Thriller
Mad Max: Fury Road,2015,120 min.,George Miller,Tom Hardy,Action Thriller,Action
Woman in the Dunes,1964,123 min.,Hiroshi Teshigahara,Eiji Okada,Avant-garde / Experimental,Based-on-20th-Century-Literature
My Man Godfrey,1936,94 min.,Gregory La Cava,William Powell,Comedy of Manners,Comedy
Airplane!,1980,88 min.,"Jim Abrahams, David Zucker, Jerry Zucker",Robert Hays,Absurd Comedy,Comedy
Sanjuro,1962,96 min.,Akira Kurosawa,Toshirô Mifune,Action,Adventure
Life of Brian,1979,94 min.,Terry Jones,Graham Chapman,Absurd Comedy,Based-on-Television
Barry Lyndon,1975,184 min.,Stanley Kubrick,Ryan O'Neal,Based-on-19th-Century-Literature,Drama
High Noon,1952,85 min.,Fred Zinnemann,Gary Cooper,Western,
The Goonies,1985,114 min.,Richard Donner,Sean Astin,Adventure Comedy,Adventure
Finding Nemo,2003,100 min.,Andrew Stanton,Albert Brooks,Adventure,Adventure Comedy
Nausicaä of the Valley of the Wind,1984,117 min.,Hayao Miyazaki,Sumi Shimamoto,Adventure,Animation
Singin' in the Rain,1952,103 min.,"Stanley Donen, Gene Kelly",Gene Kelly,Comedy,Jukebox Musical
The Sixth Sense,1999,107 min.,M. Night Shyamalan,Bruce Willis,Childhood Drama,Drama
Who's Afraid of Virginia Woolf?,1966,131 min.,Mike Nichols,Elizabeth Taylor,Based-on-Theatre,Drama
Spirited Away,2001,125 min.,Hayao Miyazaki,Rumi Hîragi,Adventure,Animation
A Face in the Crowd,1957,125 min.,Elia Kazan,Andy Griffith,Drama,Media Satire
Manhattan,1979,96 min.,Woody Allen,Woody Allen,Comedy Drama,Comedy of Manners
Predator,1987,107 min.,John McTiernan,Arnold Schwarzenegger,Action,Alien Invasion Films
Kill Bill Vol. 2,2004,136 min.,Quentin Tarantino,Uma Thurman,Action Thriller,Action
Oldboy,2003,120 min.,Chan-wook Park,Dal-su Oh,Based-on-Comics,Based-on-Manga
White Heat,1949,114 min.,Raoul Walsh,James Cagney,Crime Thriller,Crime
The Bourne Identity,2002,119 min.,Doug Liman,Matt Damon,Action Thriller,Action
Paper Moon,1973,102 min.,Peter Bogdanovich,Ryan O'Neal,Comedy Drama,Con Artist / Hustler
The Green Mile,1999,188 min.,Frank Darabont,Tom Hanks,Based-on-20th-Century-Literature,Drama
A Man Escaped,1956,99 min.,Robert Bresson,François Leterrier,Docudrama,Drama
The Avengers,2012,142 min.,Joss Whedon,Robert Downey Jr.,Action,Adventure
Children of Men,2006,109 min.,Alfonso Cuarón,Clive Owen,Action Thriller,Action
The Truman Show,1998,103 min.,Peter Weir,Jim Carrey,Comedy Drama,Drama
Pan's Labyrinth,2006,119 min.,Guillermo del Toro,Ivana Baquero,Drama,Fairy Tales and Legends
Ocean's Eleven,2001,116 min.,Steven Soderbergh,George Clooney,Caper,Comedy
Stagecoach,1939,96 min.,John Ford,John Wayne,Action,Adventure Drama
Some Like It Hot,1959,120 min.,Billy Wilder,Marilyn Monroe,Comedy of Errors,Comedy
The Untouchables,1987,119 min.,Brian De Palma,Kevin Costner,Crime Thriller,Crime
Late Spring,1949,108 min.,Yasujirô Ozu,Setsuko Hara,Drama,Family Drama
Heat,1995,188 min.,Michael Mann,Al Pacino,Action Thriller,Action
